prod_name,sale_qty,sale_cost,sale
COLGATE SENSITIVE  PASTE80+80,19,2305.83,2561
COLGATE SLIM SF CHARCOAL B2G2,5,535.7,725
COLGATE SLIM SOFT BUY 2 GET 2,6,666.66,870
COLGATE SLIM SOFT CHARCOL SIN,17,501.6,615
COLGATE SUPER SHINE TOOTHBRUS,24,355.42,480
COLGATE SWARN VEDSHAKTI 100GM,43,2447.32,2649
COLGATE SWARN VEDSHAKTI 200GM,20,2007.25,2168
COLGATE SWARN VEDSHAKTI 300GM,7,1225.48,1333
COLGATE SWARN VEDSHAKTI 40GM,44,681.94,750
COLGATE T BRUSH KIDS O-2 SOFT,23,552.01,667
COLGATE T P VISIBLE WHITE 50G,29,2297.72,2592
COLGATE T/B 360 WHO MOU CLEAN,6,400.16,528
COLGATE T/B EXTRA CLEAN MED,24,337.72,456
COLGATE T/B GENTL CLEN U SOFT,36,825.78,1243
COLGATE T/B KIDS 2+ SOFT,39,1129.63,1480
COLGATE T/B SENSI ULTRA/S 4NO,28,2694.8,3496
COLGATE T/B SUP FLEX MED,30,444.27,600
COLGATE T/B SUP FLEXIBLE,57,1426.32,1863
COLGATE T/B SUP JUN FLEX SOFT,21,277.61,375
COLGATE T/B SUP JUNIOR SOFT,3,44.43,60
COLGATE TOOTH PASTE 300GM,38,5827.66,6342
COLGATE TOOTH POWDER 100G,7,352.24,378
COLGATE TOOTH POWDER 200G,12,1051.22,1137
COLGATE TOOTHPOWDER 50GM,10,274.51,290
COLGATE TOTAL ADV HE 120+120G,22,4785.54,5171
COLGATE VISIB WH360 WMC B2G2,9,245.43,261
COLGATE VISIBLE WHITE 100GM,20,2268.35,2531
COLGATE VISIBLE WHITE 200GM,5,695.89,766
COLGATE ZIGZAG ANTI GER  SOFT,12,288.01,348
COLGATE ZIGZAG ANTI GERM MED,16,288.01,464
COLGATE ZIGZAG NM ME T/B PK 4,7,513.36,679
COLGATE ZIGZAG T BRUSH MEDIUM,11,279.1,349
COLGET CHARCOAL CLE 120G+120G,2,365.22,402
COLGET CHARCOAL CLEAN 120GM,16,1745.45,1888
COLGET KIDS BLUE TOTH PAS 80G,3,294.18,324
DABUR BABOOL TOOTH PASTE 35GM,1,9.11,10
DABUR DANT MANJAN LAL 150GM,7,469.28,506
DABUR DANT MANJAN LAL 60GM,10,275.98,290
DABUR MESWAK TOOTH PASTE 100G,44,2443.96,2636
DABUR MESWAK TOOTH PASTE 200G,31,3061.81,3309
DABUR MESWAK TOOTH PASTE 300G,14,1859.76,2045
DABUR MESWAK TOOTH PASTE 50GM,48,880.42,960
DABUR RED T PASTE  300GM,5,747.6,845
DABUR RED T PASTE  40GM,50,916.53,999
DABUR RED T/PAST SUP SA 2X150,3,354.93,402
DABUR T PASTE RED GEL 150 GM,19,1082.73,1169
DABUR T PASTE RED GEL 25 GM,8,72.88,80
DABUR T PASTE RED GEL 80GM,2,79,86
DABUR TOOTH  PASTE LAL 100GM,41,2181.96,2350.01
DABUR TOOTH PASTE LAL 200GM,44,4235.81,4606
DABUR TOOTH POWDER  RED 100GM,10,506.64,540
HIMALAYA ACT FR GEL TP 80GM,5,215.9,245
HIMALAYA H COMPL CARE TP 80GM,13,563.65,637
HIMALAYA SENSITIVE TP 100 GM,1,100.36,114
HIMALAYA SPARKLINF WHI T/P40G,1,18.94,24
HIMALAYA SPRAKLING TP 150GM,3,248.7,282
HIMALAYA SPRAKLING TP 80 GM,6,310.87,354
LISTERINE COOLMINT 80  ML,2,95.65,98
LISTERINE FRESHBURST 80 ML.TH,2,104.34,117
LISTERINE MOUTHWASH 85 ML,7,343.47,388
LISTERINE ORIGINAL 80 ML,7,365.18,413
ORAL B  CAV DEF 1 2 3 TB SOFT,12,270,348
ORAL B  CAV DEF 123 SOFT 6PC,6,510.03,666
ORAL B  CAVITY DEF BLACK MEDI,6,157.52,204
ORAL B  CAVITY DEF BLACK SOFT,20,295.44,580
ORAL B  CHARCOAL CA DF MED 4P,28,865.05,1260
ORAL B  NEEM 123 EX SOFT,12,315.02,408
ORAL B  T/B  PRO HEA VAL PA M,9,1262.23,1638
ORAL B  T/B SENSITIVE ORI,7,772.48,1010
ORAL B 123 NEEM 4 SOFT 99,31,1753.25,2531
ORAL B 123 NEEM MEDIUM,11,89.46,413
ORAL B ANTI PLLAQUE CC B2G2,11,1173.39,1540
ORAL B CAVITY DEF 123 SOFT,6,510.01,672
ORAL B CLOVE EX SF BUY2 GET1,32,539.25,720
ORAL B CRI CRO BUY 2 GET 2 M,11,1213.39,1591.55
ORAL B FRESH CLEAN TOOTH BRUS,17,270.85,354
ORAL B KIDS TOOTH BRUSH 3 PIC,7,254.17,337
ORAL B NEEM FRESH CLN SOFT,2,225,282
ORAL B OK 008 TOM&JERRY KIDS,6,316.05,420
ORAL B PH ANTIBAC 40SFT,7,360,465
ORAL B PH GUM CARE MED BCD,13,877.5,1144
ORAL B PH GUM CARE SOFT B2G2,5,633.37,825
ORAL B PH UT CHARCOL B2G1,20,1717.03,2246
ORAL B PH UT CHARCOL T/B,27,727.48,1062
ORAL B PRO HE SAMRTF TB SOFT,11,734.34,947
ORAL B SEN EX ST B2 G2,6,680.01,900
ORAL B SEN WH TB SOFT VA PA,13,539.99,767
ORAL B SENS WHITEING T B SOFT,2,0,136
ORAL B SENS WHTNG SFT B2G2,12,990.04,1301.02
ORAL B SENSITIVE CARE ES5 PIC,6,510.03,666
ORAL B SHINY CLEAN PRO T/B ME,13,120.01,208
ORAL B T/B  SENS SUP TH EX SO,24,1073.3,1416
ORAL B T/B 3IN1 FRES CLEA MED,15,225.01,300
ORAL B TOOTH BRUSH KIDS SOFT,24,600,821
ORAL OM154 3IN1 HERBS 40M T/B,13,360.02,541
ORAL- B T/BPRO HEAL ANTI PLAQ,4,57.89,264
ORAL-B  CRI CRO GUM CR B2 G2S,28,2407.71,3120
ORAL-B CLASSIC SUP CLEAN M1P,2,210,264
ORAL-B CLOVE EX SF BUY2 GET2,2,253.33,330
ORAL-B CROSS ACT DUAL CLEAN B,6,359.99,468
ORAL-B GUM PROTECT EX SOFT 1P,61,1248.4,2440
ORAL-B PRO H C SMARTFLEX  S2P,1,156,203
ORAL-B T/B PRO-HE SEN EXT SOF,19,595.51,772
ORAL-B ULTRATHIN SE ES40 B2G1,5,637.51,830
ORAL-B ULTRATHIN SEN 1N,18,1080.03,1404
ORAL-B ULTRATHIN SEN EX40B2G2,6,599.98,780
ORAL-B ULTRATHIN SEN GR 1N,17,1312.55,1691
ORAL-B ULTRATHIN SENSITI 2N,6,510.01,672
ORAL/B SC TUL 10+2 CD CHR40 M,11,206.24,264
PATAN DANT KANTI D/C 100G,46,2104.27,2360
PATAN DANT KANTI D/C 200G,40,3700.52,4150
PEPSODENT 2IN1 TOO PASTE 80GM,18,850.91,918
PEPSODENT GERMI CHEK T/P 200G,8,676.36,736
PEPSODENT GERMI CHEK T/P 25G,8,69.6,80
PEPSODENT GERMI CHEK T/PA 100,14,652.74,704
PEPSODENT GERMICHECK 2X150G,11,1320,1430
PEPSODENT T PASTE  2IN1 150GM,19,1675.45,1824
PEPSODENT T PASTE GERM 30GM,12,205.08,240
PEPSODENT T/.B FIGHTER SOFT,10,123.5,200
PEPSODENT WHITENING T PA 150G,3,272.73,297
PEPSODENT WHITENING T PAS 80G,4,196.37,212
SENSODY TB SEN SOFT 1N,13,407.41,694
SENSODYNE DAILY CARE T/B 1N,9,207.69,261
SENSODYNE DEEP CLEAN 70GM,14,1582.59,1780
SENSODYNE FRESH GEL T P 150GM,15,2739.15,3079
SENSODYNE FRESH GEL T PAST 80,5,521.74,590
SENSODYNE FRESH GEL T/P 40GM,9,626.06,711
SENSODYNE FRESH MIN DAI P 20G,9,195.66,216
SENSODYNE FRESH MINT T P 150G,6,1095.66,1242
SENSODYNE FRESH MINT T P 40G,11,765.19,869
SENSODYNE FRESH MINT T P. 80G,11,1147.83,1283
SENSODYNE HERBAL MULTI CARE70,6,945.92,1044
SENSODYNE RAPID RELIEF  40 GM,24,1982.61,2238
SENSODYNE RAPID RELIEF  80 GM,9,1330.46,1467
SENSODYNE REPAIR & PROTE 40GM,13,899.97,1021
SENSODYNE REPAIR & PROTE 80GM,5,804.35,915
SENSODYNE TB SEN SOFT 2+1,1,71.31,93
SENSODYNE TB SENS GUM 1N,2,148.16,186
SENSODYNE TB SENS GUM 2+1,6,888.88,1158
SENSODYNE TP REPAI&PROT 100GM,8,1530.45,1744
SENSODYNE WHITENING T/P 70GM,12,1408.68,1596
VICCO TOOTH PASTE  50GM,12,427.97,456
VICCO TOOTH PASTE 100GM,12,803.03,864
VICCO TOOTH PASTE 150GM,6,552.33,580
VICCO TOOTH PASTE 200GM,10,1017.34,1181
VICCO VAJRADANTI 100GM,6,190.92,204
VICCO VAJRADANTI 18 HER 160G,2,118.16,128
VICCO VAJRADANTI 50GM,6,190.9,204
VITHOBA AYU PRE TOOTH PAST 80,3,169.71,195
VITHOBA AYURVE DANT MANJ  40G,5,124.45,145
VITHOBA AYURVE DANT MANJ 80GM,15,628.08,720
VITHOBA AYURVE TOOTH PAST 40,3,97.32,111
ACT II MIC POP BUTTER 24G PP,397,3740.66,4162
ACT II POP CLSIC SLT&CRML POC,11,211.53,231
ACT II POP TANDURI TADKA 63GM,3,87.03,96
ACT II POPCORN BUTTER 45GM,18,519.12,576
ACT II POPCORN CHILLY  40 GM,157,1492.41,1694
ACT II POPCORN CLASSIC SA 40G,279,2490.69,2790
ACT II POPCORN IPC GOLDEN 40G,340,3154.37,3499
ACT II SOUTH SPI INS POP 63GM,2,58.02,64
AZAD CRISPY KHARI 150 GM,84,3617.36,4076
AZAD CRUNCY TOAST 200 GM,85,3595.54,4045
AZAD MAKHANNIYA 200 GM,82,4256.89,4838
AZAD NAMKEEN BUTTER 200 GM,88,4562.88,5192
AZAD TWIST KHARI 200 GM,86,4431.03,5034
BINGO HATKE JHATKE FUN MAS45G,38,304.05,380
BINGO INTERNATION CRE ONI 35G,75,333.51,375
BINGO MAD ANGLES CHAAT MAS18G,32,139.75,160
BINGO MAD ANGLES TOM MIS 55GM,32,139.75,160
BINGO PREMIUM SALTED 35 GM,30,135.04,150
BINGO PREMIUM SALTED 55 GM,96,768.07,960
BINGO RED CHILLI BIJLI  35GM,37,296.04,370
BINGO SPICY MAS RIMIX 55 GM,38,304.05,380
BINGO TEDHE MEDHE SAUCY  55GM,47,204.45,235
BRIT CAKE MUFF CHOCO 35GM,48,428.13,480
BRIT CAKE MUFF STRAWBERRY35GM,127,1133.91,1270
BRITANIA PRE.SUJI TOAST 300GM,119,5321.97,5831
BRITANIA PREM SUJI TOAST 200G,224,7010.62,7616
CHAKOTE  MARVEL KHARI 120 GM,10,240,290
CHAKOTE  PECH BUTTER 150 GM,12,384,468
CHAKOTE PREMIUM RUSK 200GM,8,320.08,392
CHEETOS CHEESE PUFFS 34GM,35,317.52,350
CHEETOS MASALA BALLS 38 GM,30,272.16,300
CHITALE BANDHU BHAK WADI 250G,79,7347.66,8033
CHITALE BANDHU MAK/CHIWD 200G,3,186.95,213
CHITALE BANDHU SPL/CHIWD 200G,5,366.35,420
CHITALE BANDU PAT POHA CH 200,3,193.94,222
CHITALE MEDU WADA MIX 200G,40,2434.57,2760
DORITOS HEAT WAVE 35G,125,1841.84,2040
DORITOS NACHO CHEESE20GM,257,2331.47,2569.64
DORITOS NACHO CHEESE75GM,42,1139.35,1218
DORITOS SWEET CHILLI 35G,58,1045.86,1160
GARDEN POTATO CHIPS 100GM,5,160,195
GARDEN POTATO CHIPS 45GM,20,170,200
GARDEN YEL BANANA CHIPS 120G,1,72.36,89
GARDEN YEL BANANA CHIPS 180G,4,288.04,356
HALDIRAM  CHATPATA DAL 70G,120,540.3,599.95
HALDIRAM  FATAFAT BHEL 69 GM,54,1720.8,1936
HALDIRAM ALL IN ONE 150GM,28,1183.92,1372
HALDIRAM ALU BHUJIA 170 GM,57,2211.71,2529
HALDIRAM ALU BHUJIA SEV 25GM,12,54.03,60
HALDIRAM BADAM HALWA 200G,19,840.66,931
HALDIRAM BHELPURI 170 GM,61,2907.12,3294
HALDIRAM BHUJIA SEV 200GM,47,2158.28,2478
"HALDIRAM BL,PEP.BANA. WEF 40G",12,54.03,60
HALDIRAM BOONDI 150GM,10,341.9,390
HALDIRAM CHANA CRACKER 55GM,24,108.06,120
HALDIRAM CHANA NUT 150 GM,13,551.78,637
HALDIRAM CHANA NUTS 25GM,96,432.24,480
HALDIRAM DIET CHIWDA 150GM,82,2844.8,3198
HALDIRAM GOL  KACHORI  150GM,28,1250.8,1432
HALDIRAM HALKE FULKE 15GM,451,2030.67,2255
HALDIRAM INSTANT BHEL 55GM,151,1359.76,1510
HALDIRAM KHATTA MEETHA 150GM,27,949.1,1083
HALDIRAM KHATTA MEETHA 60GM,36,162.09,180
HALDIRAM LEMON BHEL 150GM,75,2005.99,2247
HALDIRAM LEMON BHEL 60GM,108,486.27,540
HALDIRAM LITE CHIWDA 25GM,24,108.06,120
HALDIRAM MANGO HALWA 200GM,5,235.05,270
HALDIRAM MATHRI 200G,9,500.04,576
HALDIRAM MINI BHAKARWADI 200G,61,3453.43,3904
HALDIRAM MINI SAMOSA 200GM,38,2125.44,2432
HALDIRAM MIXTURE 150 GM,17,460.85,527
HALDIRAM MIXTURE 40 GM,24,108.06,120
HALDIRAM MOOG DAL 17 GM,96,432.24,480
HALDIRAM MOONG DAL 150GM,49,2304.61,2645.35
HALDIRAM MURUKKU 200G,14,782.64,896
HALDIRAM NAV MIX 150GM,5,256.5,295
HALDIRAM PANCHRATAN MIX 150GM,67,3499.12,3953
HALDIRAM PANCHRATAN MIX 25GM,179,1611.9,1790
HALDIRAM PHALH CHIWDA 150GM,57,2198.24,2534
HALDIRAM RAJW PHAL CHIW 40 GM,52,234.12,260
HALDIRAM RATLAMI SEV 150GM,6,174.36,198
HALDIRAM RUS ELA BR TOAST200G,20,700,780
HALDIRAM RUSK MILK TOAST 150G,30,681.98,720
HALDIRAM RUSK MILK TOAST 250G,12,420,468
HALDIRAM SOYA STICKS 150GM,78,3000.28,3432
HALDIRAM SOYA STICKS 25GM,192,864.48,960
HALDIRAM TASTY NUT 150 GM,24,108.06,120
HALDIRAM TASTY NUT 200GM,35,1461.7,1675
JADHAV BHADANG BHEL 200 GM,39,1520.93,1989
JADHAV BHAJNI CHAKLI 200 GM,35,1364.94,1785
JADHAV BHAVNAGIRI GATHIYA200G,20,779.96,1020
JADHAV DITE CHIVDA 200GM,20,779.96,1020
JADHAV GARLIC MIX 200GM,17,662.97,867
JADHAV GARLIC SEV 200GM,10,389.98,510
JADHAV KACHORI 200 GM,80,2760.13,3640
JADHAV KACHORI 500 GM,19,1424.91,1862
JADHAV KATODI MIX 200 GM,30,1169.94,1530
JADHAV KOLHAPURI CHIVADA 200G,38,1140.18,1520
JADHAV KOLHAPURI CHIVADA 500G,22,1649.89,2156
JADHAV MADRAS MIX 200 GM,19,740.96,969
JADHAV MAHALAXMI CHIVD 200 GM,8,311.98,408
JADHAV MEDIUM SEV 200GM,30,1169.94,1530
JADHAV MINI BHAKARWADI 200 GM,65,2175.15,2875
JADHAV MINI BHAKARWADI 500 GM,20,1499.9,1960
JADHAV NADIYADI MIX 200 GM,30,1169.94,1530
JADHAV NAVRATAN MIX 200 GM,35,1364.94,1785
JADHAV NYLON CHIVDA 200GM,9,350.98,459
JADHAV NYLON SEV 200GM,25,974.96,1275
JADHAV SPECIAL MIX 200 GM,80,2760.12,3640
JADHAV SPECIAL MIX 500 GM,20,1499.9,1960
JADHAV TIKHA GATHIYA 200GM,27,1052.95,1377
JADHAV TIKHA SEV 200GM,49,1551.17,2059
JADHAV TIKHA SEV 500GM,8,599.96,784
KURKURE MAS TWISTS 50 GM,250,2267.98,2499.88
KURKURE MASALA MUNCH 100 GM,160,2885.09,3200
KURKURE MASALA MUNCH 55GM,384,3483.6,3840
KURKURE NAUGHTY TOMATO 47GM,19,172.33,190
KURKURE PUFF MADMASALA 35GM,460,4173.1,4599.53
KURKURE PUFFCOR YUMMY CHE 68G,274,4940.73,5480
KURKURE RAJASTANI STYL106.6GM,126,2272.03,2520
KURKURE RAJASTHANI STYLE 47G,378,3429.19,3780
KURKURE RED CHIL CHATK 106.6G,167,3011.29,3340
KURKURE RED CHILLI CHATKA 47G,410,3719.47,4100
KURKURE SOLID MASTI 90G,136,2452.35,2720
LAYS AMER STYL CREM ONION 25G,1249,11330.82,12489.53
LAYS AMER STYL CREM ONION 52G,388,6996.34,7760
LAYS AMER STYL CREM ONION 96G,90,2452.61,2610
LAYS BAR-B-Q STYLE CHI 50G,276,4976.78,5520
LAYS CHILE LEMON,172,3101.47,3440
LAYS CLASSIC SALTED  52 GM,220,3967.01,4400
LAYS CLASSIC SALTED 25 GM,649,5887.69,6489.5
LAYS CLASSIC SALTED P.C. 95GM,55,1491.97,1595
LAYS HOT/SWEET CHILLI 25 GM,1195,10840.95,11950
LAYS L M N LIME 28GM,499,4526.91,4989.88
LAYS LATINO STYLE CHIPS 35GM,80,680.63,800
LAYS MAGIC MASALA P CHIPS 25G,952,8636.38,9520
LAYS MAGIC MASALA P CHIPS 35G,292,5265.27,5839
LAYS MAGIC MASALA P CHIPS 52G,65,1763.26,1885
LAYS MAGIC MASALA P. C. 125GM,35,1581.16,1715
LAYS MASALACOLLER P.CHIPS 35G,60,260.05,300
LAYS MAXX CHILLI 33GM,75,680.4,750
LAYS MAXX SIZ BARBEQUE 58GM,506,5127.69,5612
LAYS SPANISH TOM TANGO 25 GM,295,2676.18,2950
LAYS SPANISH TOMATO TANGO 52G,104,1875.27,2080
LAYS SPANISH TOMATO TANGO96G,100,2712.99,2900
MAHALAXMI KADAK BU LADU 250GM,96,3203.05,4094
MAHALAXMI MALVANI KHAJA 200GM,41,1353,1739
MAHALAXMI SHENGDANE LADU 25PC,48,1437.04,1872
MAHALAXMI SHEV LADU 25 PCS,49,1457.02,1911
NICE GOLD CHAKLI 200GM,93,3133.02,3684
NICE GOLD CHAKLI 500GM,49,5014.99,5900
NICE GOLD SP. NYL POHA CH500G,23,2541.55,2990
PARLE CHATK NAM ALLO BH 400GM,1,42.88,56
PARLE RUSK (TOAST) 200GM,86,2321.84,2606
PARLE RUSK ELAYCHI 1KG,30,3608.47,4136
PARLE RUSK REAL ELAICHI 200GM,58,1506.84,1682
PARLE RUSK REAL ELAICHI 300GM,38,1635.08,1850
PRINGLES DESI MASA TADKA 107G,6,610.95,666
PRINGLES ORIG POTAT CRIP 110G,6,600.03,654
PRINGLES PERI PERI 107 G,6,594.59,648
PRINGLES PIZZA 107 G,12,1216.42,1326
PRINGLES PUSION CHUTNEY 107G,16,1661.86,1812
PRINGLES SOUR CRM&ONI POT CHI,11,1090.07,1188
RAJA BHADANG 100GM,125,2923.98,3530
RAJA BHADANG 200GM,21,1007.83,1239
RAJA BHAJANI KADBOLI 100 GM,20,559.98,655
RAJA CHAKALI 200 GM,451,23374.96,28645.8
RAJA CHAKALI 500 GM,55,7149.98,8690
RAJA RAJGIRA LADU 8 NOS,650,12252.98,15450
RAJA SHEV POHA CHIWDA 200 GM,440,17608.02,21565
RAJA SHEV POHA CHIWDA 500 GM,143,14219.69,17473
SAFFOLA MAS OATH CLAS MAS 38G,84,1176.85,1284
SAFFOLA MAS OATH PEP TOMA 40G,62,900.91,980
SAFFOLA MAS OATH VEG TWIST 38,86,1164.96,1303
SAFFOLA MAS OATS CLA MAS 500G,7,1255.61,1351
SAFFOLA MAS OATS PEP TOM 400G,3,539.97,579
SAFFOLA MAS OATS VEG TWIS 400,6,1079.96,1158
SHRI GANESH BHAVNAGRI FAR 250,66,4326.03,5094
SHRI GANESH FARASAN 1KG,16,4192.02,5056
SHRI GANESH FARASAN 250GM,327,21377.08,25159.61
SHRI GANESH FARASAN 500GM,141,18414.06,21674.93
SHRI GANESH GATHI 250 GM,22,1412.03,1658
SHRI GANESH NYLON SEV 250 GM,76,5008.03,5899
SHRI GANESH PAPADI 250 GM,139,9133.05,10755.31
SHRI GANESH SAFED POHA CHI250,39,2052.06,2371
SHRI GANESH SEV MAS SHEN 250G,65,4230.97,4980
SHRI GANESH SHABU CHIVDA 250,10,538.65,640
SHRI GANESH SHEV 250G,6,378,444
SMITASHRI AMBAPOLI 100GM,22,1395.02,1821
SMITASHRI TALALELE GARE100 GM,50,2499.88,3250
YOGESHWAR RAJGIRA  LADU 6QTR,16,252,320
AMUL B PURE GHEE 500ML JAR,48,12189.92,12832.16
AMUL PURE COW GHEE 500ML REF,16,3778.62,4154
AMUL PURE GHEE 1LTR TIN,80,39405.2,42370
AMUL PURE GHEE 200 ML JAR,73,7771.62,8171
AMUL PURE GHEE 500ML RFL,101,24117.57,25917
BRITANNIA COW GHEE 200ML,5,675.96,740
CHITALE  PURE GHEE 200ML CBD,21,2397.18,2563
CHITALE  PURE GHEE 500ML RFL,34,9908.6,10560
CHITALE COW GHEE 200ML,34,3906.18,4172
CHITALE COW GHEE 500ML,83,24417.15,25924
DALDA VANASPATI 1LTR PP,180,31625.12,34013
DALDA VANASPATI 200GM PP,97,3487.24,3863
DALDA VANASPATI 2LTR JAR,8,2870.01,3098
DALDA VANASPATI 500GM PP,368,32180.88,35096.35
DIPTI GOLD REF.PALM.OIL 1LTR,215,27799.32,29172
FORTUNE REF SUN OIL 1LT PP,226,42730,45078
FORTUNE REF SUN OIL 5 LT JAR,17,16800,17687
FORTUNE RICE BRAN 1 LTR,136,24132,25504
FORTUNE RICE BRAN 5LTR,12,10840,11719
GEMINI  MUSTARD OIL 1 LT PLS,9,1709.98,1899
GEMINI  MUSTARD OIL 500ML PLS,6,576.01,636
GEMINI REF SOYAB OIL 1LT,656,104440.19,109000.53
GEMINI REF SUN OIL 1 LT BTL,93,18149.95,18900
GEMINI REF SUN OIL 1LTR PP,2021,384937.15,401211.07
GEMINI REF SUN OIL 500ML BTL,72,7283.93,7572
GEMINI REFI GR NUT 1 LTR PP,359,66391.63,69085
GEMINI RICE BRAN OIL 1LTR PP,178,32197.97,33504
GEMINI SUNFL OIL 15 LT JAR,89,241476.11,243688.99
GEMINI SUNFL OIL 15 LT TIN,12,30689.98,30966.06
GEMINI SUNFLOWER OIL 5LTR,198,195641.18,203620
GEMINI VANASPATI 1 LTR REF,50,8827.88,9549
GEMINI VANASPATI 500ML REF,106,9298.17,10026
GODREJ REF PALMOL OIL 1LT PLS,119,17605.98,18781
GOVIND PUR GHEE 1LTR JAR,4,2108,2360
GOVIND PUR GHEE 1LTR PP,3,1470,1647
GOWARDHAN GHEE 100GM,99,8370.01,8945
GOWARDHAN GHEE 1LTR JAR,65,37274.77,40251.8
GOWARDHAN GHEE 200 ML,169,24578.32,26197
GOWARDHAN GHEE 500GMS JAR,156,46661.71,50318.81
GUINEA DIVYA SHAKTI OIL 900ML,228,27132.12,30583
JALARAM GROUNDNUT OIL 1LT PP,664,113895.04,118988
KAMANI RISO RICEBRAN OIL 5 JA,12,11480,12028
LOKRAJ REF SOYA.OIL 15LTR JAR,53,119744.98,121360.8
LOKRAJ REF SOYA.OIL 1LTR,1598,229172.95,239729
LOKRAJ REF SOYA.OIL 5LTR,98,75025.13,78091.42
LOKRAJ REF SOYA.OIL 750ML,235,28285.13,29560
PATANJALI C GHEE 1 L (NEW),7,3826.69,3955
PATANJALI COWS GHEE 200ML,11,1330.56,1375
PATANJALI COWS GHEE 500 ML,17,4852.31,5015
PITAMBARI DEEP SHAKTI OIL 1LT,118,17230.09,19448
PITAMBARI DEEP SHAKTI OIL 450,30,2580.16,2850
SAFFOLA GOLD 1LT PP,183,38736.08,40280
SAFFOLA GOLD 5LT CAN,69,82660.8,86572.41
SAGAR PURE GHEE 1 LT TIN,19,8688.18,9679
SAGAR PURE GHEE 500ML PP,40,9278.14,10212
SARSOLA MUSTARD OIL 100ML,34,1140.96,1276
SARSOLA MUSTARD OIL 1LT,15,3575.4,3986
SARSOLA MUSTARD OIL 200 ML,14,752.77,848
SARSOLA MUSTARD OIL 500 ML,33,3994.46,4508
SARVOTTAM RICE BRAN OIL P 1LT,249,37069.49,39924
SUNDAY REF SUNFLOWER 1LTR PP,144,26712,28173
SUNNY LITE SUN OIL 1 LTR PP,470,83249.15,87201
SUNNY LITE SUN OIL 5 LTR JAR,10,9005.99,9372
SUNRICH REF SUNFLR OIL 1LT,30,5520.06,5730
SWEEKAR SUNFLOWEROIL 1LT  PP,50,9295.98,9724
VANRAJ TEEL OIL 1 LTR,6,1796.1,2049
VANRAJ TEEL OIL 100ML,16,586.5,712
VANRAJ TEEL OIL 200ML,18,1130.93,1275
VANRAJ TEEL OIL 500ML,13,1999.54,2254
VILINA SUN OIL 5LT JAR,23,20956.95,21808
VILINA SUN OIL-1 LTR,720,123155.81,128378.53
total,52234,3948153.57,4246269.71
